nationality,gender,age,salary
South American,Female,18,574
Apache,Male,37,3217
Samoan,Male,26,1894
Ute,Male,46,1945
Bolivian,Male,14,1925
Tongan,Female,28,2009
Pima,Female,50,1381
American Indian,Male,47,2838
Chippewa,Male,26,1391
Creek,Female,49,1942
Osage,Male,48,2698
Latin American Indian,Male,36,924
Native Hawaiian,Male,36,1329
Dominican (Dominican Republic),Male,42,1875
Costa Rican,Genderqueer,47,1253
Ute,Female,14,1745
Nicaraguan,Male,40,151
Menominee,Female,31,2959
Argentinian,Male,37,1830
Spaniard,Female,31,2740
Native Hawaiian and Other Pacific Islander (NHPI),Female,47,1941
Chickasaw,Female,53,176
Bolivian,Male,21,1915
Colombian,Male,24,1304
Asian,Female,53,2906
Argentinian,Female,20,2333
Chickasaw,Male,27,1443
Peruvian,Female,34,2546
Chinese,Female,48,943
Guatemalan,Male,55,2071
Uruguayan,Female,50,614
Yakama,Female,38,2632
Peruvian,Male,44,158
Blackfeet,Female,36,752
Costa Rican,Female,14,1489
Bolivian,Female,44,1046
American Indian,Male,23,427
Asian Indian,Male,54,242
Thai,Male,54,1171
Pima,Polygender,30,152
Costa Rican,Male,53,1632
Thai,Female,23,1725
Iroquois,Male,27,839
Cherokee,Male,54,267
Kiowa,Female,42,2400
Colville,Female,43,771
Chilean,Male,23,2352
Peruvian,Female,41,1112
Paiute,Female,14,489
Guatemalan,Female,36,210
Bolivian,Female,40,2571
Yuman,Male,22,300
Panamanian,Male,29,2528
Aleut,Female,46,373
Pima,Female,45,819
Melanesian,Male,55,2301
Asian Indian,Female,54,2518
Iroquois,Male,31,1828
Paiute,Male,43,955
Delaware,Female,21,2278
Cuban,Female,17,1891
Venezuelan,Female,48,3156
Honduran,Female,52,1925
Comanche,Male,31,298
Potawatomi,Male,16,3080
Laotian,Male,41,703
Colville,Female,17,1456
Central American,Male,34,1438
Sri Lankan,Male,16,2466
Ottawa,Female,29,2660
Malaysian,Female,26,2113
Venezuelan,Polygender,40,2911
Hmong,Male,45,1906
Yuman,Male,31,2005
Colombian,Male,52,2230
Colombian,Female,18,2900
Cambodian,Female,48,974
Taiwanese,Male,14,1694
Chickasaw,Male,18,1792
Cree,Female,28,1386
Colombian,Male,52,318
Vietnamese,Male,22,858
Korean,Polygender,42,2445
Kiowa,Female,15,1430
Puerto Rican,Male,41,959
Samoan,Non-binary,15,2766
Puget Sound Salish,Female,36,874
Aleut,Agender,28,2479
Chamorro,Female,18,897
Lumbee,Male,43,679
Yuman,Male,44,2082
Menominee,Male,23,527
Kiowa,Male,53,2450
Tongan,Female,39,1498
Fijian,Female,36,2788
Eskimo,Male,53,313
Shoshone,Male,52,1485
Bolivian,Polygender,33,649
Tohono O'Odham,Male,50,2961
Central American,Female,25,2669
Lumbee,Female,34,1057
Cuban,Male,27,2076
Venezuelan,Male,46,2827
Pueblo,Female,34,210
Chickasaw,Male,54,1006
Hmong,Female,50,1910
Cherokee,Female,24,503
Cuban,Male,20,71
Micronesian,Non-binary,55,2510
Polynesian,Male,16,2464
Polynesian,Male,36,1439
Cherokee,Female,37,2688
Samoan,Female,21,339
Indonesian,Female,50,2808
Ute,Female,25,99
Chickasaw,Agender,31,1334
Laotian,Male,21,1667
American Indian and Alaska Native (AIAN),Female,20,330
Filipino,Male,19,941
Black or African American,Female,14,1066
Sioux,Female,44,1003
Crow,Female,26,797
Puerto Rican,Female,50,2808
Paiute,Male,46,413
Alaskan Athabascan,Male,37,431
Puget Sound Salish,Male,31,1991
Puget Sound Salish,Female,49,2121
Yaqui,Male,31,1023
Blackfeet,Female,26,785
Asian,Female,46,2156
Panamanian,Female,20,1298
Chinese,Female,35,2257
Puget Sound Salish,Female,18,2272
Panamanian,Male,46,1370
Puget Sound Salish,Male,25,1794
Samoan,Male,54,1109
Paraguayan,Bigender,33,1300
Alaskan Athabascan,Male,30,2934
Peruvian,Male,47,1516
Alaskan Athabascan,Female,26,1626
Samoan,Female,49,2481
Puerto Rican,Polygender,39,1158
Comanche,Non-binary,33,2830
Honduran,Male,52,1664
Chippewa,Male,21,986
Chamorro,Male,52,2664
Choctaw,Female,15,1967
Asian Indian,Female,37,636
Paraguayan,Male,15,1608
Hmong,Female,21,2295
Asian,Male,38,2920
Latin American Indian,Male,18,1163
Costa Rican,Female,31,1807
Laotian,Female,14,2507
Shoshone,Female,22,1915
Chilean,Male,51,2300
Latin American Indian,Male,23,2814
Laotian,Male,32,1003
Yuman,Polygender,50,2537
Crow,Polygender,24,2907
Puget Sound Salish,Male,17,1995
Native Hawaiian and Other Pacific Islander (NHPI),Male,18,1820
Chilean,Male,50,1377
Hmong,Female,18,2746
Sioux,Genderfluid,50,241
Navajo,Male,24,2166
Aleut,Female,38,690
Shoshone,Bigender,28,2268
White,Female,43,417
Venezuelan,Female,42,862
Salvadoran,Non-binary,31,583
Kiowa,Female,46,2802
Native Hawaiian,Female,53,2950
Delaware,Male,35,105
Native Hawaiian and Other Pacific Islander (NHPI),Female,18,1466
Salvadoran,Polygender,47,260
Native Hawaiian and Other Pacific Islander (NHPI),Male,20,2424
Comanche,Male,23,723
Korean,Male,44,3093
Menominee,Male,24,197
Shoshone,Male,22,2057
Tongan,Male,26,869
Guatemalan,Female,21,519
Peruvian,Female,53,1240
Mexican,Male,23,1130
Menominee,Male,22,251
Menominee,Female,39,240
Latin American Indian,Female,25,681
Native Hawaiian and Other Pacific Islander (NHPI),Male,20,2361
Polynesian,Genderfluid,40,1115
Guamanian,Female,48,2522
Costa Rican,Male,46,1291
Crow,Female,45,2091
Alaskan Athabascan,Male,28,983
Shoshone,Female,19,1812
Lumbee,Agender,37,2279
Salvadoran,Male,24,1703
Blackfeet,Female,18,1640
Sioux,Female,40,2599
Dominican (Dominican Republic),Female,26,97
Central American,Female,52,989
Cree,Female,33,497
Chilean,Agender,39,3047
Creek,Female,35,1366
Cree,Female,51,2331
Chippewa,Male,55,2744
Alaska Native,Male,22,2185
Tongan,Female,27,1608
Asian Indian,Female,19,1101
Samoan,Female,24,336
Tongan,Female,44,3078
Tongan,Female,31,2300
Filipino,Male,34,3067
Tongan,Female,40,2221
Tlingit-Haida,Male,27,514
Puerto Rican,Female,22,2480
Chilean,Female,48,842
Bolivian,Male,40,1372
Taiwanese,Female,53,1246
Tlingit-Haida,Male,53,1233
Apache,Genderqueer,17,1543
Latin American Indian,Polygender,52,2785
Filipino,Female,22,1997
Alaskan Athabascan,Male,51,1345
Sri Lankan,Male,15,2219
Dominican (Dominican Republic),Male,50,317
Samoan,Male,36,1646
Guamanian,Male,18,199
Cambodian,Male,29,2967
Guamanian,Female,36,3207
Native Hawaiian,Female,19,943
Bolivian,Male,17,1327
Potawatomi,Male,23,316
Aleut,Female,46,2346
Nicaraguan,Male,54,1760
Black or African American,Male,32,2814
Asian Indian,Male,23,843
Native Hawaiian and Other Pacific Islander (NHPI),Male,43,3183
Yuman,Female,25,320
Sri Lankan,Female,41,1189
Spaniard,Female,34,3110
Fijian,Male,41,1581
Ecuadorian,Male,41,2016
American Indian and Alaska Native (AIAN),Female,21,440
Bolivian,Male,28,1300
Costa Rican,Male,26,523
Pueblo,Female,25,818
Melanesian,Male,51,917
Ottawa,Male,23,3088
Colombian,Female,34,2821
Bolivian,Female,22,2414
Costa Rican,Female,36,1449
Asian,Female,17,1515
Polynesian,Male,19,564
Delaware,Polygender,42,1751
Pakistani,Female,46,3080
Dominican (Dominican Republic),Female,31,2892
Asian,Male,20,2348
Ecuadorian,Female,26,315
Thai,Male,42,2215
Costa Rican,Male,32,2773
Dominican (Dominican Republic),Female,30,3069
Alaska Native,Female,46,565
Sioux,Male,51,1315
Samoan,Male,29,1034
Costa Rican,Female,37,1215
Cree,Female,17,963
Apache,Male,28,2017
Chamorro,Male,14,636
Pueblo,Male,38,2241
Yakama,Non-binary,25,2549
Thai,Bigender,40,1667
Hmong,Female,17,462
Chippewa,Female,15,1169
Potawatomi,Female,22,1108
Dominican (Dominican Republic),Male,53,1023
Menominee,Female,25,2631
Japanese,Female,46,56
Nicaraguan,Female,20,1540
Peruvian,Male,27,593
Delaware,Male,28,2412
Cherokee,Male,30,1724
Kiowa,Female,14,3030
Pima,Female,49,1404
Korean,Male,45,3076
Lumbee,Male,26,2255
Taiwanese,Female,46,31
Sri Lankan,Male,47,1120
South American,Female,21,2865
American Indian and Alaska Native (AIAN),Female,31,831
Laotian,Female,44,1311
Malaysian,Male,54,3004
Tongan,Female,41,1864
Chickasaw,Genderqueer,47,1284
Colville,Male,15,2197
Chamorro,Male,25,2819
Colville,Male,40,1260
Panamanian,Male,17,1209
Melanesian,Female,31,2454
Salvadoran,Female,29,2649
Colombian,Male,44,2161
Hmong,Female,53,1317
Choctaw,Bigender,27,2886
Bolivian,Male,32,40
Alaskan Athabascan,Female,51,730
Shoshone,Male,24,1534
Japanese,Polygender,41,793
Hmong,Female,26,677
Ute,Male,44,2484
Pakistani,Male,37,2245
Thai,Female,40,1696
Kiowa,Male,48,2226
Polynesian,Male,20,982
Crow,Male,42,1385
Polynesian,Female,24,3236
Tlingit-Haida,Female,38,2541
Honduran,Male,53,3227
Japanese,Female,14,2247
Menominee,Female,53,3131
Native Hawaiian and Other Pacific Islander (NHPI),Male,34,1857
Vietnamese,Male,45,1796
Paiute,Non-binary,33,2007
Costa Rican,Male,37,2462
Ute,Male,54,916
Korean,Male,50,2670
Cheyenne,Bigender,28,2596
Cree,Female,14,3192
Bangladeshi,Male,49,2972
Costa Rican,Female,17,2561
Chamorro,Female,43,1166
Tongan,Female,52,1170
Dominican (Dominican Republic),Female,51,2761
Alaskan Athabascan,Female,45,925
Cherokee,Female,43,2450
Central American,Female,16,691
Samoan,Male,55,3166
Fijian,Male,15,2314
Laotian,Female,39,2824
Paraguayan,Male,18,3085
Seminole,Male,28,1438
Crow,Female,52,2525
Venezuelan,Female,35,822
Asian,Male,42,1149
Bangladeshi,Male,39,1306
Menominee,Female,35,1740
Colombian,Female,47,318
Pima,Bigender,32,3230
Native Hawaiian,Female,49,1498
Pakistani,Male,53,678
Nicaraguan,Female,27,140
Melanesian,Agender,14,3116
Bolivian,Female,36,880
Vietnamese,Female,38,1928
Venezuelan,Male,19,1814
American Indian and Alaska Native (AIAN),Male,25,1248
Ottawa,Male,49,3042
Crow,Female,54,2775
Mexican,Female,53,2861
Bangladeshi,Female,47,778
Nicaraguan,Male,53,1458
Malaysian,Female,50,2885
Lumbee,Female,27,3076
Bangladeshi,Female,27,1450
Salvadoran,Male,37,2689
Cambodian,Male,23,1607
