ID,Complete,Months,Result,Success
1,true,18,67,74
2,false,55,94,33
3,false,60,38,49
4,false,32,35,67
5,false,60,52,86
6,false,11,80,84
7,true,30,52,22
8,true,47,79,35
9,true,18,87,60
10,false,4,50,13
11,false,42,16,2
12,true,7,77,49
13,true,32,80,51
14,false,14,5,89
15,false,34,17,57
16,true,36,7,73
17,false,15,17,74
18,true,20,2,8
19,false,58,49,16
20,true,31,18,27
21,true,57,4,87
22,false,9,38,44
23,false,5,64,53
24,false,19,72,16
25,false,29,74,70
26,false,23,18,4
27,true,60,13,60
28,true,23,73,36
29,false,21,37,7
30,false,46,16,53
31,false,35,47,46
32,true,49,81,84
33,false,57,5,51
34,true,3,91,1
35,true,44,90,37
36,false,47,75,87
37,true,56,68,52
38,true,29,74,40
39,false,37,58,7
40,true,14,20,96
41,true,14,79,70
42,true,45,89,95
43,false,36,84,18
44,false,30,29,51
45,true,58,16,80
46,true,23,41,94
47,true,38,30,2
48,true,22,25,66
49,true,2,94,48
50,true,58,12,24
51,false,46,50,47
52,false,23,71,74
53,false,26,68,10
54,true,18,62,83
55,false,26,6,48
56,true,56,78,55
57,true,51,16,58
58,false,51,60,12
59,true,40,14,23
60,true,58,85,58
61,false,2,24,35
62,false,47,30,19
63,false,44,37,57
64,false,3,99,39
65,false,34,38,63
66,false,23,6,28
67,false,18,85,11
68,true,1,92,95
69,true,25,17,83
70,false,17,86,43
71,true,31,81,41
72,false,1,100,25
73,false,33,8,79
74,true,48,66,12
75,true,58,13,53
76,true,46,33,59
77,false,27,35,76
78,false,31,10,19
79,false,44,54,95
80,false,48,8,6
81,false,29,38,25
82,false,8,66,52
83,false,56,19,38
84,true,7,57,42
85,true,41,82,59
86,false,39,62,30
87,false,3,64,23
88,false,37,62,3
89,false,55,38,11
90,false,56,43,90
91,false,28,55,98
92,true,20,78,59
93,true,4,39,100
94,false,41,20,64
95,false,30,67,94
96,false,24,21,47
97,true,13,82,15
98,false,12,39,52
99,false,14,5,13
100,true,47,93,59
101,true,40,100,78
102,false,16,13,3
103,true,47,47,94
104,true,50,2,41
105,true,45,24,99
106,true,9,80,90
107,false,14,6,14
108,true,29,5,63
109,false,42,99,71
110,true,2,42,25
111,true,54,82,35
112,true,25,30,7
113,true,12,14,52
114,false,11,40,9
115,true,55,90,26
116,false,32,81,50
117,true,4,49,20
118,false,6,61,76
119,false,39,60,15
120,true,22,89,73
121,false,21,83,14
122,false,59,30,71
123,true,30,17,36
124,true,46,12,57
125,false,50,18,32
126,true,29,97,87
127,true,42,31,91
128,false,37,53,39
129,false,57,62,42
130,false,13,99,4
131,false,56,40,8
132,false,2,67,32
133,false,32,92,52
134,false,14,28,99
135,true,42,75,71
136,false,59,53,100
137,false,34,46,41
138,true,6,24,29
139,false,12,6,54
140,false,32,84,90
141,true,22,86,48
142,false,36,26,1
143,true,13,88,99
144,true,10,94,61
145,false,59,54,100
146,false,14,46,15
147,false,58,59,20
148,true,25,3,61
149,false,10,45,58
150,true,41,60,28
151,false,43,30,19
152,true,35,11,66
153,true,58,60,27
154,true,48,77,82
155,true,31,96,92
156,false,59,25,50
157,false,27,91,49
158,false,57,74,41
159,false,7,57,30
160,true,22,92,83
161,true,38,84,31
162,false,39,18,40
163,true,57,43,18
164,false,29,36,65
165,false,57,51,77
166,false,17,30,97
167,false,9,97,37
168,true,59,99,58
169,true,15,70,66
170,false,33,27,54
171,false,8,46,38
172,true,34,50,17
173,true,51,24,55
174,true,36,34,12
175,true,60,84,19
176,true,28,45,89
177,true,47,16,58
178,true,56,56,71
179,true,31,73,54
180,true,11,52,25
181,true,53,34,51
182,false,37,5,22
183,false,18,43,58
184,true,10,8,34
185,false,24,58,63
186,false,3,98,80
187,true,47,30,1
188,true,37,76,30
189,true,35,99,32
190,true,58,5,23
191,false,59,33,80
192,false,13,18,38
193,false,58,61,55
194,false,54,12,72
195,false,42,31,39
196,true,26,40,77
197,false,13,38,84
198,true,50,10,91
199,false,46,45,64
200,false,3,90,93
